WeekDynamic_Classified																														
Date	WeekDynamic_Open_Interest_Total	WeekDynamic_Reportable_Positions_Net	WeekDynamic_Reportable_Positions_Long	WeekDynamic_Reportable_Positions_Short	WeekDynamic_Prod_Merc_Positions_Total	WeekDynamic_Prod_Merc_Positions_Net	WeekDynamic_Prod_Merc_Positions_Long	WeekDynamic_Prod_Merc_Positions_Short	WeekDynamic_Swap_Positions_Total	WeekDynamic_Swap_Positions_Net	WeekDynamic_Swap_Positions_Long	WeekDynamic_Swap_Positions_Short	WeekDynamic_Swap_Positions_Spread	WeekDynamic_M_Money_Positions_Total	WeekDynamic_M_Money_Positions_Net	WeekDynamic_M_Money_Positions_Long	WeekDynamic_M_Money_Positions_Short	WeekDynamic_M_Money_Positions_Spread	WeekDynamic_Other_Rept_Positions_Total	WeekDynamic_Other_Rept_Positions_Net	WeekDynamic_Other_Rept_Positions_Long	WeekDynamic_Other_Rept_Positions_Short	WeekDynamic_Other_Rept_Positions_Spread	WeekDynamic_NonRept_Positions_Total	WeekDynamic_NonRept_Positions_Net	WeekDynamic_NonRept_Positions_Long	WeekDynamic_NonRept_Positions_Short	binShort	binLong	binNeut
05.02.2013	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	6	7	0	0	0	0	0	0	0	0	0	0	1	0	0
12.02.2013	7	0	6	6	0	0	0	0	0	0	0	0	7	6	0	0	0	0	6	0	0	0	7	6	0	5	6	0	0	1
19.02.2013	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	6	0	7	0	0	0	0	0	0	0	0	1
26.02.2013	2	0	2	2	3	0	0	3	0	0	0	0	3	0	0	0	0	3	1	0	1	6	3	0	0	0	0	0	0	1
05.03.2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	1
12.03.2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	6	0	0	0	0	0	0	0	0	1
19.03.2013	3	0	3	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	1
26.03.2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	4	1	0	0
02.04.2013	3	0	3	3	2	0	2	3	0	0	0	0	0	0	0	4	0	0	0	0	6	3	0	6	0	0	6	0	0	1
09.04.2013	0	0	0	0	5	0	0	5	0	5	0	0	0	0	0	0	4	0	0	0	3	6	0	0	0	0	0	0	0	1
16.04.2013	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1
23.04.2013	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	1
30.04.2013	2	0	2	3	0	0	3	0	3	0	0	0	2	4	0	5	3	0	3	4	3	6	2	3	0	0	3	0	0	1
07.05.2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	5	7	0	0	3	0	0	0	1
14.05.2013	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	4	0	0	1
21.05.2013	0	0	0	0	4	0	6	3	0	0	0	0	0	6	5	0	7	0	0	4	0	3	7	6	0	0	7	0	0	1
28.05.2013	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	5	0	0	0	1
04.06.2013	6	0	6	6	7	0	6	6	0	0	0	0	0	0	0	6	0	0	6	7	3	6	7	0	0	0	0	0	0	1
11.06.2013	0	0	0	0	3	0	3	4	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
18.06.2013	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	1
25.06.2013	1	0	1	1	3	0	2	0	2	3	3	4	0	3	0	0	3	0	2	0	0	4	2	4	0	0	4	0	0	1
02.07.2013	7	5	0	6	5	4	9	3	0	0	0	0	0	7	5	4	7	6	7	4	9	4	6	7	5	4	0	0	0	1
09.07.2013	0	4	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	4	0	0	0	0	1
16.07.2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	3	0	0	6	0	0	7	0	0	1
23.07.2013	0	0	0	0	3	0	0	3	0	0	0	0	0	6	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	1
30.07.2013	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1
06.08.2013	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	6	0	0	0	0	0	4	0	0	1
13.08.2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	7	6	0	0	6	0	0	1
20.08.2013	3	0	3	3	0	0	0	0	3	4	4	0	2	0	0	0	0	0	3	5	0	0	3	3	0	0	3	0	0	1
27.08.2013	1	0	1	1	3	5	2	0	0	0	0	0	2	2	0	0	3	1	2	0	0	0	0	3	0	0	3	0	0	1
03.09.2013	3	0	0	0	3	0	0	3	0	0	0	0	6	0	0	0	0	0	3	0	0	4	0	3	0	3	4	0	0	1
10.09.2013	0	0	0	0	4	0	0	0	0	5	5	0	0	0	0	0	0	3	6	0	0	0	6	4	0	0	4	0	0	1
17.09.2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1
24.09.2013	0	0	0	0	6	5	3	6	0	0	0	0	0	0	0	5	4	0	0	5	0	0	6	6	0	6	0	0	0	1
01.10.2013	0	0	0	0	7	5	3	0	0	0	0	0	0	1	4	0	1	7	0	5	0	6	3	0	0	5	0	1	0	0
08.10.2013	0	0	0	0	6	0	0	6	0	0	0	0	0	0	6	5	3	0	6	0	0	0	6	0	0	0	0	1	0	0
15.10.2013	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	4	0	1	0	0
22.10.2013	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	5	6	7	0	7	6	1	0	0
29.10.2013	3	5	0	3	3	0	0	3	0	0	0	0	0	0	0	4	6	6	3	0	0	3	0	0	5	4	6	1	0	0
05.11.2013	0	0	0	0	4	0	0	3	0	0	0	0	6	6	4	3	7	7	0	0	6	3	0	0	0	3	5	0	0	1
